"","Gender","Age","Occupation","City_Category","Stay_In_Current_City_Years","Marital_Status","Purchase"
"5201","M","51-55","0","B","3","1",2598737
"3728","F","26-35","0","A","1","1",1061893
"2711","F","26-35","7","C","3","0",771416
"4039","M","36-45","12","B","1","1",1188757
"1817","F","18-25","4","B","2","0",183690
"3712","M","51-55","17","C","0","1",128064
"2252","M","55+","16","C","2","0",956027
"1112","M","55+","0","C","1","0",113536
"413","M","36-45","14","C","0","0",835628
"4802","M","46-50","12","B","2","1",811168
"3605","M","51-55","1","C","0","1",504237
"1594","M","36-45","17","C","1","0",447405
"3072","M","26-35","7","B","4+","0",3068485
"5029","F","55+","13","C","2","1",534907
"4176","M","55+","0","C","1","1",124043
"894","F","26-35","9","B","1","0",299795
"1522","M","26-35","16","C","1","0",107183
"1233","M","18-25","4","C","1","0",126647
"2073","M","18-25","4","C","2","0",345673
"4541","M","36-45","15","C","1","1",264418
"2967","M","26-35","15","A","4+","0",2385731
"1294","F","26-35","7","C","1","0",138586
"5181","M","55+","17","A","3","1",180227
"4590","M","26-35","17","C","1","1",968104
"5088","M","36-45","17","C","2","1",160416
"2407","M","26-35","17","A","3","0",124607
"4430","M","55+","10","C","1","1",931319
"5790","F","51-55","9","C","4+","1",404355
"1458","F","51-55","13","C","1","0",281241
"1396","M","0-17","10","C","1","0",265848
"1969","M","26-35","0","C","2","0",223851
"5384","M","26-35","6","C","3","1",238295
"5868","M","36-45","17","C","4+","1",66900
"892","F","51-55","8","B","1","0",2512863
"371","M","0-17","10","C","0","0",184108
"822","M","26-35","4","B","1","0",672151
"108","M","26-35","1","B","0","0",2016635
"3695","M","46-50","16","C","0","1",773592
"5508","M","51-55","17","C","3","1",475699
"3625","M","26-35","4","C","0","1",683687
"4752","M","26-35","4","B","2","1",644091
"2380","M","18-25","12","A","3","0",928121
"517","M","26-35","3","A","1","0",1766569
"1614","F","18-25","20","C","1","0",715082
"145","M","26-35","5","B","0","0",1908441
"783","F","18-25","4","B","1","0",420125
"3805","M","26-35","7","A","1","1",868026
"3314","M","0-17","10","C","4+","0",432304
"3643","M","26-35","7","C","0","1",185817
"364","M","0-17","10","C","0","0",291021
"1503","M","46-50","14","C","1","0",673369
"3070","M","26-35","7","B","4+","0",389621
"2716","M","26-35","7","C","3","0",219709
"4749","F","26-35","4","B","2","1",312204
"85","M","36-45","19","A","0","0",358398
"2998","F","36-45","0","B","4+","0",895807
"4216","M","51-55","1","C","1","1",231703
"3557","F","36-45","20","B","0","1",296701
"368","M","0-17","10","C","0","0",138997
"2452","M","36-45","1","B","3","0",189151
"2204","M","26-35","12","C","2","0",905283
"4429","M","18-25","10","C","1","1",652171
"5241","M","46-50","7","B","3","1",444101
"2885","M","26-35","0","A","4+","0",3016674
"737","M","36-45","1","B","1","0",1351067
"679","M","46-50","20","A","1","0",5499812
"1390","M","0-17","10","C","1","0",556348
"4248","M","26-35","3","C","1","1",1249599
"329","M","26-35","6","C","0","0",400832
"961","F","26-35","14","B","1","0",350150
"5489","M","36-45","16","C","3","1",371851
"5487","F","36-45","16","C","3","1",833595
"162","M","0-17","10","B","0","0",607669
"4683","M","26-35","14","A","2","1",3539036
"2593","M","26-35","0","C","3","0",961687
"1625","M","26-35","20","C","1","0",469439
"5013","M","51-55","11","C","2","1",782257
"5392","M","55+","6","C","3","1",941438
"3014","M","36-45","1","B","4+","0",260862
"2436","M","26-35","0","B","3","0",2372685
"3976","M","26-35","5","B","1","1",2376783
"756","M","26-35","2","B","1","0",275292
"2278","M","26-35","18","C","2","0",224910
"4108","M","18-25","20","B","1","1",1293862
"4905","M","55+","1","C","2","1",187765
"4680","M","46-50","13","A","2","1",149057
"5259","M","26-35","12","B","3","1",2244988
"1780","F","36-45","0","B","2","0",126460
"5496","M","26-35","17","C","3","1",1066019
"1606","M","51-55","18","C","1","0",100253
"1472","M","55+","13","C","1","0",376697
"3599","M","46-50","1","C","0","1",461704
"1669","F","36-45","2","A","2","0",641065
"4143","M","26-35","0","C","1","1",128873
"278","M","18-25","3","C","0","0",375606
"932","F","26-35","12","B","1","0",1513896
"1867","M","26-35","7","B","2","0",2055412
"5367","F","18-25","4","C","3","1",1158311
"4840","M","46-50","17","B","2","1",1848334
"3441","M","46-50","3","A","0","1",2708543
"1424","F","26-35","12","C","1","0",606952
"300","M","18-25","4","C","0","0",204762
"764","F","26-35","3","B","1","0",654950
"2956","M","26-35","12","A","4+","0",1462915
"2171","F","0-17","10","C","2","0",710732
"3526","M","36-45","7","B","0","1",306349
"557","F","26-35","6","A","1","0",4094730
"2700","M","26-35","6","C","3","0",990609
"4379","M","36-45","7","C","1","1",430669
"4875","M","55+","0","C","2","1",1637965
"4711","M","51-55","0","B","2","1",2487397
"2759","M","0-17","10","C","3","0",655954
"4462","M","46-50","12","C","1","1",590040
"3826","M","26-35","12","A","1","1",380218
"1088","F","36-45","0","C","1","0",630021
"2172","M","0-17","10","C","2","0",99552
"299","M","18-25","4","C","0","0",1029810
"203","M","36-45","18","B","0","0",1991502
"4361","F","36-45","7","C","1","1",565600
"4510","M","26-35","14","C","1","1",1208401
"4656","M","55+","3","A","2","1",1319638
"3000","F","46-50","0","B","4+","0",317337
"1250","M","26-35","4","C","1","0",74593
"4724","M","46-50","1","B","2","1",1339917
"1374","F","0-17","10","C","1","0",128619
"2516","M","36-45","7","B","3","0",4995468
"3876","M","26-35","20","A","1","1",413859
"3231","F","18-25","4","C","4+","0",394776
"562","F","36-45","6","A","1","0",1876982
"152","M","26-35","7","B","0","0",618182
"120","M","18-25","3","B","0","0",2233110
"5615","F","46-50","6","B","4+","1",170121
"3642","M","26-35","7","C","0","1",274503
"4286","M","18-25","4","C","1","1",362677
"702","M","26-35","0","B","1","0",4270371
"5474","F","55+","14","C","3","1",44108
"5087","M","36-45","17","C","2","1",171107
"4306","M","26-35","5","C","1","1",184694
"4465","M","46-50","12","C","1","1",909785
"4478","M","51-55","13","C","1","1",122827
"884","M","36-45","7","B","1","0",335740
"3411","M","18-25","20","C","4+","0",1222401
"4843","F","18-25","20","B","2","1",249800
"4386","M","46-50","7","C","1","1",1255658
"1668","M","26-35","2","A","2","0",1264890
"232","M","26-35","0","C","0","0",629478
"630","M","18-25","14","A","1","0",4054112
"602","F","0-17","10","A","1","0",887283
"5067","M","51-55","16","C","2","1",152610
"1355","F","26-35","9","C","1","0",602462
"1578","F","36-45","17","C","1","0",202767
"2635","F","26-35","2","C","3","0",161770
"4174","F","55+","0","C","1","1",403659
"2305","F","26-35","0","A","3","0",189443
"335","M","26-35","7","C","0","0",456026
"5866","F","36-45","17","C","4+","1",264628
"2341","M","18-25","4","A","3","0",885241
"3859","M","51-55","16","A","1","1",374475
"15","M","51-55","1","A","0","0",1454452
"5386","F","46-50","6","C","3","1",949418
"4912","F","36-45","2","C","2","1",243353
"3151","M","18-25","0","C","4+","0",1115999
"4538","M","26-35","15","C","1","1",372594
"224","M","18-25","0","C","0","0",128106
"1360","F","26-35","9","C","1","0",249600
"5255","M","18-25","12","B","3","1",475913
"4308","M","26-35","5","C","1","1",229983
"1807","M","18-25","3","B","2","0",2378897
"5141","F","51-55","2","A","3","1",269701
"4351","M","26-35","7","C","1","1",434848
"923","M","36-45","11","B","1","0",3852994
"5018","F","36-45","12","C","2","1",167886
"444","M","36-45","17","C","0","0",143403
"2965","M","18-25","15","A","4+","0",1279678
"4399","M","51-55","7","C","1","1",260778
"593","M","36-45","7","A","1","0",196400
"1782","M","36-45","0","B","2","0",228690
"577","M","26-35","7","A","1","0",324783
"2132","M","36-45","7","C","2","0",1824299
"2181","M","0-17","10","C","2","0",183654
"865","M","26-35","7","B","1","0",418486
"1520","M","18-25","16","C","1","0",131731
"4345","F","55+","6","C","1","1",174306
"1050","M","18-25","0","C","1","0",231657
"1470","M","55+","13","C","1","0",979324
"264","M","51-55","1","C","0","0",61255
"3615","F","36-45","3","C","0","1",511039
"2243","M","26-35","16","C","2","0",883081
"4138","F","26-35","0","C","1","1",1101957
"5702","M","51-55","0","C","4+","1",206337
"5449","M","36-45","12","C","3","1",569034
"4436","F","36-45","11","C","1","1",160443
"694","F","26-35","0","B","1","0",252781
"2643","F","26-35","3","C","3","0",223821
"731","M","26-35","1","B","1","0",394600
"5041","M","36-45","14","C","2","1",1277715
"1105","M","36-45","0","C","1","0",899194
"4431","F","26-35","11","C","1","1",390305
"4139","F","26-35","0","C","1","1",955417
"5802","M","26-35","12","C","4+","1",1163795
"449","M","46-50","17","C","0","0",389663
"4522","M","36-45","14","C","1","1",163706
"458","F","18-25","19","C","0","0",570462
"4931","M","18-25","4","C","2","1",289754
"1144","M","36-45","1","C","1","0",1356844
"4635","M","36-45","20","C","1","1",406785
"1163","M","55+","1","C","1","0",250011
"1862","F","26-35","7","B","2","0",105580
"830","M","26-35","4","B","1","0",1113894
"4571","F","51-55","16","C","1","1",83554
"4653","M","26-35","2","A","2","1",1378727
"54","F","36-45","7","A","0","0",1951984
"2080","M","18-25","4","C","2","0",684925
"5645","M","55+","13","B","4+","1",204088
"3548","F","46-50","16","B","0","1",2755599
"5475","M","55+","14","C","3","1",392351
"3371","F","18-25","17","C","4+","0",801717
"886","M","36-45","7","B","1","0",768140
"2306","M","26-35","0","A","3","0",4528519
"5629","M","51-55","7","B","4+","1",1430888
"161","M","0-17","10","B","0","0",351242
"1441","M","26-35","12","C","1","0",352112
"3344","F","36-45","12","C","4+","0",97286
"18","F","18-25","2","A","0","0",351345
"5344","M","51-55","1","C","3","1",404863
"574","M","26-35","7","A","1","0",7577505
"2695","M","36-45","5","C","3","0",424258
"4951","F","46-50","6","C","2","1",155817
"3773","M","36-45","3","A","1","1",986907
"659","M","26-35","17","A","1","0",209310
"1241","M","18-25","4","C","1","0",340548
"4091","F","46-50","17","B","1","1",3793000
"370","M","0-17","10","C","0","0",476576
"4060","F","46-50","14","B","1","1",1772334
"916","M","0-17","10","B","1","0",835673
"3922","F","46-50","1","B","1","1",1808784
"5565","M","55+","13","A","4+","1",730131
"5505","M","36-45","17","C","3","1",1054373
"2719","M","26-35","7","C","3","0",90361
"5019","M","36-45","12","C","2","1",892190
"2673","M","18-25","4","C","3","0",744090
"3065","F","26-35","7","B","4+","0",55347
"775","F","18-25","4","B","1","0",1129064
"968","F","36-45","14","B","1","0",1730335
"1203","F","18-25","4","C","1","0",120889
"1803","F","26-35","2","B","2","0",90668
"5484","M","26-35","16","C","3","1",196980
"4868","M","46-50","0","C","2","1",289436
"3676","F","55+","13","C","0","1",453242
"3378","M","26-35","17","C","4+","0",217418
"3678","M","55+","13","C","0","1",886048
"4667","M","26-35","7","A","2","1",1687962
"2603","M","36-45","0","C","3","0",465851
"4535","F","26-35","15","C","1","1",162333
"5046","M","46-50","14","C","2","1",138804
"815","F","26-35","4","B","1","0",2669949
"308","M","18-25","4","C","0","0",1481206
"4792","M","46-50","11","B","2","1",1199776
"2198","M","26-35","12","C","2","0",1339289
"3577","M","46-50","0","C","0","1",188697
"637","M","26-35","14","A","1","0",1781066
"5402","M","26-35","7","C","3","1",159541
"4651","M","26-35","2","A","2","1",665440
"1717","M","36-45","7","A","2","0",2611004
"1709","M","36-45","5","A","2","0",4689382
"359","F","0-17","10","C","0","0",883170
"1058","M","18-25","0","C","1","0",1373078
"3365","M","46-50","16","C","4+","0",171897
"5657","M","18-25","16","B","4+","1",80248
"479","M","26-35","0","A","1","0",2839591
"1511","M","26-35","15","C","1","0",402054
"1237","M","18-25","4","C","1","0",1592761
"3098","M","51-55","13","B","4+","0",3286428
"1499","M","36-45","14","C","1","0",120668
"2400","F","51-55","16","A","3","0",889029
"5769","M","26-35","7","C","4+","1",874714
"1185","M","36-45","3","C","1","0",224035
"4817","M","26-35","14","B","2","1",4023723
"2371","F","0-17","10","A","3","0",5628295
"2361","F","26-35","7","A","3","0",1185786
"2313","M","55+","0","A","3","0",624355
"234","M","26-35","0","C","0","0",188574
"5822","M","55+","13","C","4+","1",302209
"1986","M","51-55","0","C","2","0",972082
"908","M","0-17","10","B","1","0",324579
"4110","F","26-35","20","B","1","1",2245096
"5789","F","18-25","9","C","4+","1",216891
"1001","M","36-45","17","B","1","0",2651878
"3482","M","26-35","0","B","0","1",637323
"4779","M","51-55","7","B","2","1",458023
"860","M","18-25","7","B","1","0",1933216
"3944","F","46-50","2","B","1","1",239699
"3742","M","46-50","0","A","1","1",4152683
"4694","M","26-35","20","A","2","1",1783245
"4746","M","18-25","4","B","2","1",850118
"1161","F","55+","1","C","1","0",137971
"1884","M","0-17","10","B","2","0",704300
"5433","F","26-35","11","C","3","1",178732
"2563","M","36-45","16","B","3","0",609448
"1440","M","26-35","12","C","1","0",1223299
"2874","M","36-45","20","C","3","0",692946
"788","M","18-25","4","B","1","0",261249
"1413","F","26-35","11","C","1","0",258476
"270","F","26-35","2","C","0","0",417983
"3624","F","26-35","4","C","0","1",143242
"1896","M","26-35","12","B","2","0",1540195
"1402","M","0-17","10","C","1","0",817155
"2610","M","46-50","0","C","3","0",202243
"3023","F","18-25","4","B","4+","0",1766425
"2433","M","26-35","0","B","3","0",1974435
"2057","M","18-25","4","C","2","0",559799
"1229","M","18-25","4","C","1","0",482877
"827","M","26-35","4","B","1","0",1014689
"5420","M","51-55","7","C","3","1",122854
"199","M","36-45","17","B","0","0",423269
"3874","F","26-35","20","A","1","1",218546
"4966","M","26-35","7","C","2","1",219566
"345","M","36-45","7","C","0","0",665852
"883","M","36-45","7","B","1","0",3941866
"1665","F","26-35","2","A","2","0",357947
"3468","M","55+","17","A","0","1",413617
"4497","M","55+","13","C","1","1",87982
"4618","M","36-45","18","C","1","1",97953
"209","M","26-35","20","B","0","0",631016
"2392","M","26-35","14","A","3","0",187070
"1473","M","55+","13","C","1","0",731107
"741","M","46-50","1","B","1","0",3711829
"5724","M","18-25","2","C","4+","1",121611
"5839","M","26-35","15","C","4+","1",243535
"1410","M","0-17","11","C","1","0",119184
"4782","M","51-55","7","B","2","1",1209176
"2097","M","26-35","5","C","2","0",370946
"5031","M","55+","13","C","2","1",424531
"4780","M","51-55","7","B","2","1",1895807
"2975","M","55+","17","A","4+","0",311925
"4719","M","36-45","1","B","2","1",2399110
"2735","M","36-45","7","C","3","0",378304
"2598","M","26-35","0","C","3","0",716633
"3749","M","36-45","1","A","1","1",1595556
"4144","M","26-35","0","C","1","1",819202
"2634","M","18-25","2","C","3","0",70070
"5236","M","26-35","7","B","3","1",3636536
"5012","M","46-50","11","C","2","1",305116
"975","M","26-35","15","B","1","0",1835550
"113","F","26-35","2","B","0","0",924177
"3657","M","51-55","7","C","0","1",126977
"4271","M","18-25","4","C","1","1",360612
"5116","F","46-50","20","C","2","1",789191
"4636","F","46-50","20","C","1","1",370097
"742","M","51-55","1","B","1","0",2191351
"564","M","18-25","7","A","1","0",1974813
"4956","F","55+","6","C","2","1",152448
"1516","M","51-55","15","C","1","0",167023
"1881","F","0-17","10","B","2","0",1938440
"3334","M","18-25","12","C","4+","0",463795
"3755","M","51-55","1","A","1","1",267549
"1858","M","26-35","6","B","2","0",1562615
"1445","M","36-45","12","C","1","0",740947
"2822","M","18-25","17","C","3","0",1151822
"2811","M","36-45","15","C","3","0",1129787
"4334","M","46-50","6","C","1","1",245518
"3926","M","46-50","1","B","1","1",3542344
"4642","M","26-35","0","A","2","1",411567
"5559","F","36-45","9","A","4+","1",161084
"4727","M","18-25","2","B","2","1",57793
"3358","M","46-50","14","C","4+","0",936579
"4958","M","55+","6","C","2","1",293057
"4170","M","51-55","0","C","1","1",1733735
"3273","M","36-45","6","C","4+","0",209680
"2437","F","36-45","0","B","3","0",207782
"4513","M","26-35","14","C","1","1",108835
"3108","F","26-35","16","B","4+","0",137931
"1838","M","18-25","4","B","2","0",1797386
"5045","M","46-50","14","C","2","1",207032
"3471","M","36-45","20","A","0","1",520720
"4381","M","36-45","7","C","1","1",112623
"5414","M","46-50","7","C","3","1",505143
"77","M","26-35","16","A","0","0",4458155
"3900","M","46-50","0","B","1","1",373206
"1022","F","26-35","20","B","1","0",487261
"534","M","18-25","4","A","1","0",368428
"2148","M","46-50","7","C","2","0",468996
"2292","F","26-35","20","C","2","0",1500089
"4238","M","51-55","2","C","1","1",1115846
"3821","M","18-25","12","A","1","1",1323763
"103","M","36-45","0","B","0","0",3393739
"513","M","36-45","2","A","1","0",516744
"2935","M","26-35","4","A","4+","0",824667
"5580","M","18-25","0","B","4+","1",394847
"4523","M","36-45","14","C","1","1",178497
"262","F","51-55","1","C","0","0",116906
"4887","F","36-45","1","C","2","1",928509
"4447","M","26-35","12","C","1","1",1639991
"2170","F","0-17","10","C","2","0",365760
"3942","F","46-50","2","B","1","1",135687
"5838","M","51-55","14","C","4+","1",379272
"4971","M","26-35","7","C","2","1",171032
"981","M","26-35","16","B","1","0",3090198
"3080","M","0-17","10","B","4+","0",400790
"288","F","18-25","4","C","0","0",248363
"613","M","18-25","12","A","1","0",788915
"1307","M","26-35","7","C","1","0",355059
"4591","M","26-35","17","C","1","1",743158
"191","M","46-50","16","B","0","0",803636
"1303","M","26-35","7","C","1","0",171244
"744","F","55+","1","B","1","0",469758
"1234","M","18-25","4","C","1","0",454296
"4404","M","51-55","7","C","1","1",837093
"3838","M","18-25","14","A","1","1",1941163
"4121","M","46-50","20","B","1","1",1345682
"4769","M","26-35","7","B","2","1",421791
"4759","F","36-45","6","B","2","1",228634
"4400","M","51-55","7","C","1","1",1829079
"3017","M","18-25","2","B","4+","0",226506
"1043","M","0-17","0","C","1","0",1406356
"2613","F","18-25","1","C","3","0",197093
"519","F","36-45","3","A","1","0",2513136
"2225","M","36-45","14","C","2","0",597657
"1524","M","26-35","16","C","1","0",120327
"1457","M","36-45","13","C","1","0",364286
"646","M","26-35","15","A","1","0",233015
"2255","M","18-25","17","C","2","0",128450
"3610","M","26-35","2","C","0","1",231193
"3356","M","26-35","14","C","4+","0",394020
"5149","M","18-25","4","A","3","1",936553
"4993","M","51-55","7","C","2","1",148550
"607","M","18-25","11","A","1","0",558707
"5170","M","36-45","14","A","3","1",2641564
"2101","F","18-25","6","C","2","0",75712
"3440","M","26-35","3","A","0","1",249879
"3528","F","46-50","7","B","0","1",4002278
"3696","M","46-50","16","C","0","1",374886
"5400","M","26-35","7","C","3","1",87789
"2680","F","26-35","4","C","3","0",131513
"3049","M","18-25","4","B","4+","0",658759
"1643","F","26-35","0","A","2","0",95730
"569","F","26-35","7","A","1","0",1784249
"1448","M","36-45","12","C","1","0",318039
"2159","F","26-35","9","C","2","0",491500
"5506","M","46-50","17","C","3","1",229777
"4890","M","36-45","1","C","2","1",474101
"1660","M","26-35","1","A","2","0",135376
"2648","F","36-45","3","C","3","0",299654
"87","M","26-35","20","A","0","0",2800411
"3884","M","26-35","0","B","1","1",3204589
"5090","M","46-50","17","C","2","1",1806758
"1765","M","18-25","0","B","2","0",209947
"539","M","18-25","4","A","1","0",1153441
"4945","M","46-50","5","C","2","1",124677
"1342","M","46-50","7","C","1","0",961872
"4737","M","46-50","3","B","2","1",2812522
"4690","M","26-35","17","A","2","1",2742049
"5593","F","46-50","1","B","4+","1",936442
"568","F","26-35","7","A","1","0",3380079
"2005","F","46-50","1","C","2","0",151437
"5039","M","36-45","14","C","2","1",595933
"837","F","26-35","5","B","1","0",2760723
"5599","M","46-50","2","B","4+","1",158099
"954","M","36-45","13","B","1","0",1387261
"4489","M","55+","13","C","1","1",298373
"3430","F","18-25","1","A","0","1",1592644
"5290","M","46-50","17","B","3","1",1180380
"5078","M","26-35","17","C","2","1",295885
"2050","F","18-25","4","C","2","0",126901
"170","F","26-35","12","B","0","0",1467886
"902","F","0-17","10","B","1","0",235880
"609","M","36-45","11","A","1","0",320392
"3272","M","36-45","6","C","4+","0",91410
"2644","M","26-35","3","C","3","0",1261040
"1341","M","46-50","7","C","1","0",231600
"3018","M","26-35","2","B","4+","0",435574
"2785","M","36-45","12","C","3","0",140569
"4834","F","26-35","17","B","2","1",1254527
"3510","M","26-35","4","B","0","1",606997
"3271","M","26-35","6","C","4+","0",99572
"3752","M","51-55","1","A","1","1",3211832
"3325","M","26-35","11","C","4+","0",1252838
"1637","F","18-25","0","A","2","0",281780
"2992","F","26-35","0","B","4+","0",1253796
"5767","M","26-35","7","C","4+","1",1481545
"1405","M","18-25","10","C","1","0",557358
"2669","M","18-25","4","C","3","0",438397
"5263","M","36-45","12","B","3","1",587074
"1945","F","36-45","20","B","2","0",557774
"1826","M","18-25","4","B","2","0",581717
"2350","M","18-25","4","A","3","0",1178768
"843","M","36-45","5","B","1","0",2021503
"2081","M","18-25","4","C","2","0",770082
"4720","M","36-45","1","B","2","1",723195
"1326","M","36-45","7","C","1","0",720771
"4853","M","26-35","0","C","2","1",116019
"5512","M","36-45","18","C","3","1",222487
"728","M","26-35","1","B","1","0",614180
"406","M","26-35","14","C","0","0",1228303
"1854","M","26-35","5","B","2","0",1408510
"1432","M","26-35","12","C","1","0",1079707
"2298","M","51-55","20","C","2","0",180078
"3782","M","18-25","4","A","1","1",2625326
"1420","F","18-25","12","C","1","0",1640706
"1095","M","36-45","0","C","1","0",1262318
"4973","M","26-35","7","C","2","1",2189401
"2122","M","26-35","7","C","2","0",318478
"1848","M","26-35","4","B","2","0",531563
"3398","M","36-45","18","C","4+","0",1257891
"460","F","26-35","19","C","0","0",572104
"2413","M","26-35","20","A","3","0",819270
"2804","M","36-45","14","C","3","0",866515
"472","F","26-35","0","A","1","0",4453785
"634","M","26-35","14","A","1","0",214394
"4193","M","36-45","1","C","1","1",170893
"5466","M","36-45","14","C","3","1",381710
"266","M","18-25","2","C","0","0",1022760
"3143","M","0-17","0","C","4+","0",284759
"529","M","18-25","4","A","1","0",243029
"4347","M","55+","6","C","1","1",111532
"2474","M","26-35","3","B","3","0",2739770
"4604","M","46-50","17","C","1","1",929028
"3154","F","26-35","0","C","4+","0",1593657
"3257","M","18-25","4","C","4+","0",434654
"3747","M","26-35","1","A","1","1",5075337
"3609","M","18-25","2","C","0","1",314108
"5227","M","26-35","4","B","3","1",2274202
"1076","M","26-35","0","C","1","0",85025
"1487","F","26-35","14","C","1","0",120438
"1389","M","0-17","10","C","1","0",900162
"275","M","36-45","2","C","0","0",634232
"4250","M","26-35","3","C","1","1",166305
"4270","F","18-25","4","C","1","1",542945
"208","F","26-35","20","B","0","0",1965937
"2521","F","51-55","7","B","3","0",680206
"5071","F","26-35","17","C","2","1",398907
"5665","M","51-55","17","B","4+","1",2737493
"3963","F","18-25","4","B","1","1",355787
"4740","M","18-25","4","B","2","1",1240141
"3008","F","26-35","1","B","4+","0",250513
"3796","M","36-45","5","A","1","1",2182567
"1170","M","26-35","2","C","1","0",720616
"5698","M","46-50","0","C","4+","1",783909
"2143","M","36-45","7","C","2","0",550727
"4106","M","55+","19","B","1","1",469779
"1456","M","0-17","13","C","1","0",134185
"3088","M","18-25","12","B","4+","0",1595969
"4897","M","46-50","1","C","2","1",248852
"3079","M","0-17","10","B","4+","0",1831919
"4835","M","26-35","17","B","2","1",548129
"2021","M","18-25","2","C","2","0",182500
"496","M","26-35","1","A","1","0",3824963
"956","M","51-55","13","B","1","0",309327
"645","F","18-25","15","A","1","0",2593226
"1223","M","18-25","4","C","1","0",236195
"1356","F","26-35","9","C","1","0",203009
"1652","F","18-25","1","A","2","0",927771
"791","M","18-25","4","B","1","0",1311691
"3530","M","46-50","7","B","0","1",231616
"4512","M","26-35","14","C","1","1",473724
"3397","M","26-35","18","C","4+","0",158654
"5312","M","26-35","0","C","3","1",877030
"1282","F","36-45","6","C","1","0",970985
"2764","M","18-25","10","C","3","0",168970
"1011","M","26-35","18","B","1","0",2706254
"3109","F","36-45","16","B","4+","0",2838078
"5123","M","26-35","0","A","3","1",991062
"3674","F","46-50","12","C","0","1",409682
"4131","M","18-25","0","C","1","1",202655
"2831","M","26-35","17","C","3","0",884374
"5798","M","55+","11","C","4+","1",172337
"590","M","36-45","7","A","1","0",5549841
"716","M","36-45","0","B","1","0",1324994
"618","M","18-25","12","A","1","0",1274335
"1363","F","36-45","9","C","1","0",340373
"1961","F","26-35","0","C","2","0",131674
"2852","F","51-55","17","C","3","0",296908
"3218","M","46-50","2","C","4+","0",1632316
"4277","M","18-25","4","C","1","1",266573
"4438","M","36-45","11","C","1","1",583456
"4554","M","26-35","16","C","1","1",189556
"267","M","18-25","2","C","0","0",181229
"477","M","26-35","0","A","1","0",502842
"4416","M","55+","7","C","1","1",121554
"3951","F","26-35","3","B","1","1",800745
"1404","M","18-25","10","C","1","0",909730
"188","M","26-35","16","B","0","0",100653
"2860","F","18-25","19","C","3","0",77353
"1630","F","36-45","20","C","1","0",789920
"2342","M","18-25","4","A","3","0",1174673
"3965","M","18-25","4","B","1","1",559207
"5391","F","55+","6","C","3","1",238305
"5196","M","36-45","0","B","3","1",1610823
"4317","M","26-35","6","C","1","1",215108
"5614","M","36-45","6","B","4+","1",1418637
"2679","M","18-25","4","C","3","0",646559
"1664","F","0-17","2","A","2","0",566838
"4364","M","36-45","7","C","1","1",126492
"2133","M","36-45","7","C","2","0",180104
"4163","M","46-50","0","C","1","1",161964
"5348","M","55+","1","C","3","1",413028
"2154","M","55+","7","C","2","0",461751
"4813","M","26-35","14","B","2","1",520031
"5687","M","26-35","0","C","4+","1",1247940
"1377","F","0-17","10","C","1","0",88795
"4948","M","26-35","6","C","2","1",271927
"3897","F","46-50","0","B","1","1",161203
"498","F","36-45","1","A","1","0",285339
"3585","M","51-55","0","C","0","1",315543
"4244","F","26-35","3","C","1","1",286287
"3799","M","26-35","6","A","1","1",210506
"2477","F","18-25","4","B","3","0",1958305
"5783","M","51-55","7","C","4+","1",654287
"4433","M","26-35","11","C","1","1",537275
"1002","M","36-45","17","B","1","0",528035
"2949","M","26-35","7","A","4+","0",341147
"169","M","18-25","12","B","0","0",1125262
"566","F","26-35","7","A","1","0",652574
"2193","M","18-25","12","C","2","0",237987
"3947","M","51-55","2","B","1","1",975980
"1733","M","26-35","12","A","2","0",255459
"5115","F","46-50","20","C","2","1",273514
"803","M","18-25","4","B","1","0",1091013
"997","M","26-35","17","B","1","0",2919766
"4371","M","36-45","7","C","1","1",185421
"3276","F","26-35","7","C","4+","0",1663605
"5258","M","26-35","12","B","3","1",408062
"800","M","18-25","4","B","1","0",179744
"5529","F","36-45","0","A","4+","1",161361
"5517","M","26-35","20","C","3","1",616431
"5139","F","46-50","2","A","3","1",894560
"3847","F","36-45","15","A","1","1",1087707
"2213","M","55+","12","C","2","0",509886
"684","F","18-25","0","B","1","0",247287
"1280","M","26-35","6","C","1","0",187260
"5363","F","18-25","4","C","3","1",590043
"5426","F","26-35","9","C","3","1",100969
"536","M","18-25","4","A","1","0",1115296
"3382","M","26-35","17","C","4+","0",481611
"3846","M","26-35","15","A","1","1",345222
"4335","M","46-50","6","C","1","1",493712
"2002","M","36-45","1","C","2","0",438483
"5815","M","51-55","13","C","4+","1",1442677
"3340","M","26-35","12","C","4+","0",668448
"998","M","26-35","17","B","1","0",152285
"2803","M","36-45","14","C","3","0",187863
"994","M","26-35","17","B","1","0",855629
"1843","F","26-35","4","B","2","0",1673695
"5664","M","26-35","17","B","4+","1",2472642
"3388","M","36-45","17","C","4+","0",540673
"3193","M","36-45","1","C","4+","0",983634
"3421","F","26-35","0","A","0","1",201873
"4689","M","51-55","16","A","2","1",3393893
"1398","M","0-17","10","C","1","0",537302
"3571","M","36-45","0","C","0","1",231598
"1875","M","36-45","7","B","2","0",361285
"1700","M","26-35","4","A","2","0",999317
"1044","F","18-25","0","C","1","0",894377
"2559","M","26-35","15","B","3","0",1576142
"3809","M","36-45","7","A","1","1",189822
"3956","F","55+","3","B","1","1",154299
"294","M","18-25","4","C","0","0",523039
"135","M","18-25","4","B","0","0",2930876
"4553","M","26-35","16","C","1","1",534830
